2024/09/20 10:31:45 [error] 8844#12280: *8813 connect() failed (10061: FormatMessage() error:(15100)) while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-admin/edit.php?post_type=page HTTP/1.0", upstream: "fastcgi://127.0.0.1:10003", host: "cultura-ro-cuarto.local", referrer: "http://cultura-ro-cuarto.local/wp-admin/post.php?post=8&action=edit"
2024/09/20 10:31:47 [error] 8844#12280: *8813 WSARecv() failed (10054: FormatMessage() error:(15105)) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-admin/edit.php?post_type=page HTTP/1.0", upstream: "fastcgi://127.0.0.1:10002", host: "cultura-ro-cuarto.local", referrer: "http://cultura-ro-cuarto.local/wp-admin/post.php?post=8&action=edit"
2024/09/20 10:31:47 [error] 8844#12280: *8816 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /favicon.ico HTTP/1.0", upstream: "fastcgi://php", host: "cultura-ro-cuarto.local", referrer: "http://cultura-ro-cuarto.local/wp-admin/edit.php?post_type=page"
2024/09/20 10:31:49 [error] 8844#12280: *8817 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-admin/edit.php?post_type=page HTTP/1.0", upstream: "fastcgi://php", host: "cultura-ro-cuarto.local", referrer: "http://cultura-ro-cuarto.local/wp-admin/post.php?post=8&action=edit"
2024/09/20 10:31:49 [error] 8844#12280: *8818 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /favicon.ico HTTP/1.0", upstream: "fastcgi://php", host: "cultura-ro-cuarto.local", referrer: "http://cultura-ro-cuarto.local/wp-admin/edit.php?post_type=page"
2024/09/20 10:31:51 [error] 8844#12280: *8819 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.0", upstream: "fastcgi://php", host: "cultura-ro-cuarto.local", referrer: "http://cultura-ro-cuarto.local/wp-admin/customize.php?return=%2Fwp-admin%2Fedit.php%3Fpost_type%3Dpage"
2024/09/20 10:31:55 [error] 8844#12280: *8820 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.0", upstream: "fastcgi://php", host: "cultura-ro-cuarto.local", referrer: "http://cultura-ro-cuarto.local/wp-admin/customize.php?return=%2Fwp-admin%2Fedit.php%3Fpost_type%3Dpage"
2024/09/20 10:31:55 [error] 8844#12280: *8821 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-admin/edit.php?post_type=page HTTP/1.0", upstream: "fastcgi://php", host: "cultura-ro-cuarto.local", referrer: "http://cultura-ro-cuarto.local/wp-admin/customize.php?return=%2Fwp-admin%2Fedit.php%3Fpost_type%3Dpage"
2024/09/26 15:45:21 [error] 12780#2876: *8099 WSARecv() failed (10054: FormatMessage() error:(15100)) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/taxonomies?context=edit&per_page=100&_locale=user HTTP/1.0", upstream: "fastcgi://127.0.0.1:10002", host: "cultura-ro-cuarto.local", referrer: "http://cultura-ro-cuarto.local/wp-admin/post.php?post=8&action=edit&revision=156"
2024/09/26 15:45:21 [error] 12780#2876: *8107 WSARecv() failed (10054: FormatMessage() error:(15105)) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/blocks?context=edit&per_page=100&_locale=user HTTP/1.0", upstream: "fastcgi://127.0.0.1:10002", host: "cultura-ro-cuarto.local", referrer: "http://cultura-ro-cuarto.local/wp-admin/post.php?post=8&action=edit&revision=156"
2024/09/26 15:45:21 [error] 12780#2876: *8102 WSARecv() failed (10054: FormatMessage() error:(15105)) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/categories?context=view&per_page=100&_locale=user HTTP/1.0", upstream: "fastcgi://127.0.0.1:10002", host: "cultura-ro-cuarto.local", referrer: "http://cultura-ro-cuarto.local/wp-admin/post.php?post=8&action=edit&revision=156"
